category,Hue,Saturation,Value
field,24.898,237.5416,167.5973
field,26.4412,237.5152,163.8397
field,25.1815,244.5464,149.1627
field,24.7186,217.3647,160.9585
field,26.0577,245.575,184.587
field,26.2511,232.3349,190.5052
field,24.5298,238.3359,156.8286
field,26.2246,242.9931,199.5716
field,23.1896,249.1021,172.6888
field,26.3026,245.1842,191.1801
field,25.2495,228.4332,169.7206
field,25.2438,224.9249,166.5147
field,25.0527,248.3873,170.8783
field,26.8302,242.0837,171.7015
field,25.2509,250.7906,166.1926
field,26.1839,243.1247,198.6451
field,26.8173,249.9243,166.8614
field,24.5835,223.8805,180.046
field,25.2975,250.6167,157.4941
field,25.8458,227.0196,198.708
field,24.7015,247.3296,166.4471
field,25.8859,245.1563,186.2463
field,25.8906,228.1391,188.5508
field,26.0517,248.5155,186.3392
field,26.0536,239.6231,184.2918
field,25.692,233.3356,185.6349
field,24.631,217.3533,184.5589
field,21.3886,232.3919,158.729
field,23.6958,221.6603,150.6113
field,25.6961,241.9906,183.2364
field,25.5784,243.7388,184.8747
field,24.5748,235.7418,163.1321
field,25.3428,245.3183,169.8425
field,23.6507,247.2482,169.0578
field,26.2003,246.0261,198.6983
field,26.0677,246.8757,176.6963
field,26.1713,244.2913,187.0705
field,26.4493,248.0535,186.3577
field,24.203,213.2424,178.4934
field,26.1417,243.8979,179.859
field,26.9768,247.4134,175.4967
field,26.0453,250.351,171.6686
field,24.5696,216.617,170.4076
field,25.032,233.6308,149.6249
field,25.9315,239.0544,190.5742
field,22.6616,251.9959,169.9354
field,28.9972,234.8622,188.0797
field,23.2241,211.9942,142.9648
field,25.6837,227.5519,168.4873
field,26.9705,237.6853,189.0303
field,24.5025,246.0309,176.3636
field,24.5677,219.1257,164.179
field,25.5169,227.0644,164.4038
field,25.5385,239.3919,194.3483
field,27.2418,241.7775,175.2973
field,24.4973,242.4001,167.5075
field,25.5639,249.3334,184.4438
field,25.3006,245.3161,169.9344
field,40.3744,198.3963,142.1333
field,25.7415,241.3214,193.6509
field,25.7079,239.854,147.8333
field,29.0495,229.4707,179.6025
field,25.4712,250.5119,154.7759
field,25.0203,246.0466,167.7748
field,24.5582,208.3468,141.4933
field,27.868,225.0647,155.102
field,25.4203,251.6765,155.4288
field,25.0326,252.2714,172.9594
field,24.5268,226.8986,172.4748
field,24.7452,230.4743,162.2494
field,25.0488,203.534,142.5826
field,26.3947,251.2188,173.8706
field,25.5148,239.0504,177.6858
field,25.0119,245.0983,155.5587
field,25.8519,241.482,195.2428
field,23.0611,218.8222,152.1368
field,26.2179,232.9501,165.005
field,25.3198,241.1761,170.064
field,24.2719,232.4496,163.7735
field,26.1769,224.655,194.0987
field,26.4505,235.8173,178.6434
field,25.7501,233.1212,195.9712
field,25.5522,237.6593,191.3568
field,30.0255,215.6312,174.225
field,26.2247,249.1863,190.9379
field,26.5575,219.2276,158.4274
field,24.9631,250.5553,167.0487
field,28.2309,231.7071,180.8156
field,29.3502,200.7673,134.2711
field,25.6583,238.4644,186.952
field,26.1224,243.8982,182.0294
field,25.2835,196.4914,141.7154
field,25.5508,220.2423,164.1421
field,25.4059,247.2147,160.9056
field,25.7841,248.4214,177.8543
field,25.9544,238.6883,192.1098
field,25.6523,221.5841,193.4188
field,25.0619,247.6575,169.9245
field,24.8402,229.4037,145.1443
field,24.8997,242.6919,166.1695
field,27.1019,239.4239,165.5059
field,25.7616,245.6345,184.173
field,25.7758,222.8316,191.9334
field,24.7973,248.6767,175.7709
field,27.5244,236.8148,164.9279
field,25.7886,247.1025,190.587
field,25.5506,241.9598,170.0696
field,26.2111,231.2028,194.2723
field,23.3417,252.6956,171.8318
field,25.4184,248.6606,157.3266
field,25.4563,238.0633,178.4874
field,26.0093,232.8769,198.4809
field,26.2142,233.3607,197.2882
field,26.1148,246.0385,190.95
field,25.3283,237.3207,180.1141
field,24.5756,225.5339,179.332
field,24.1471,239.5779,165.386
field,23.8538,226.5743,149.695
field,26.3684,241.5763,186.8814
field,26.7243,240.809,187.6733
field,24.4881,244.823,135.4729
field,28.8178,244.5873,172.7302
field,26.474,229.758,184.126
field,25.2658,241.7895,158.6065
field,24.8881,220.9997,180.6927
field,24.7348,229.1802,160.5597
field,25.1048,247.5896,163.4859
field,23.1832,251.1691,177.7873
field,22.4103,230.4992,152.3233
field,25.0424,245.2851,165.6847
field,25.4413,251.0757,162.305
field,25.8103,232.1723,188.0545
field,25.7095,229.4809,195.5819
field,25.8798,235.4221,197.5288
field,25.2867,220.1485,166.5786
field,25.3606,240.4627,187.3297
field,25.6965,238.6625,158.3671
field,25.6959,232.1011,173.4357
field,25.1975,244.1402,170.3495
field,25.6285,239.0995,184.0293
field,25.7561,248.9962,186.3563
field,28.7658,236.5948,171.8217
field,26.7124,247.9243,169.9489
field,24.9642,247.8887,174.3807
field,23.9738,217.3652,141.7921
field,24.7298,249.0519,168.9948
field,26.0304,248.6746,180.2883
field,24.8242,251.1695,170.1215
field,26.259,227.4426,198.4
field,25.9692,239.1465,192.6802
field,24.7006,214.8766,172.6576
field,26.6771,240.9391,182.7208
field,24.6564,242.7628,166.4846
field,24.6916,250.206,149.7877
field,27.7583,224.9201,152.8798
field,26.3703,234.5835,185.4943
field,23.8543,229.7084,153.0921
field,31.1996,226.4586,143.6789
field,24.935,216.8385,166.4761
field,25.1161,251.0801,169.1206
field,25.7646,244.1053,170.8091
field,25.8834,229.8209,162.0469
field,27.271,235.0263,188.1062
field,25.1369,250.223,160.5571
field,26.4826,239.8567,171.6989
field,25.5339,236.7133,194.8496
field,26.4674,234.7018,180.7278
